"T #","Band #","State","Lake","Year Collected","Sex","Age","Hg","PLAS","LEUC"
503,"0689-09477","MA","Copicut Reservoir, MA",2020,"Female","ATY",5.4,NA,NA
543,"0968-87783","ME","Beaver Pond",2020,"Female","ATY",3.4,NA,NA
556,"0689-09479","ME","Flagstaff",2020,"Female","ATY",3.3,NA,NA
555,"1238-04764","ME","Parmachenee",2020,"Female","ATY",2.9,NA,NA
511,"0689-09475","MA","Wachusett Reservoir",2020,"Female","ATY",2.7,NA,NA
506,"0689-09459","MA","Wachusett Reservoir",2020,"Female","ATY",2.5,NA,NA
551,"0689-09480","ME","Beaver Mountain",2020,"Female","ATY",1.9,NA,NA
548,"0938-03351","ME","Flagstaff",2020,"Female","ATY",1.8,NA,NA
552,"0689-09483","ME","Beaver Mountain",2020,"Female","ATY",1.7,NA,NA
508,"0559-61760","MA","Wachusett Reservoir",2020,"Female","ATY",1.7,NA,NA
553,"0689-09476","ME","Little Sebago",2020,"Female","ATY",0.9,NA,NA
640,"1238-04741","NH","Red Hill Pond",2020,"Female","ATY",NA,NA,NA
638,"1238-04798","NH","Manning Lake",2020,"Female","ATY",NA,NA,NA
498,"1238-04726","NH","Winnipesaukee",2020,"Female","ATY",NA,NA,NA
489,"1238-04774","NH","Conner Pond",2020,"Female","ATY",NA,NA,NA
479,"1118-16140","NH","Winnepocket Lake",2020,"Female","ATY",NA,NA,NA
549,"0689-09454","ME","Richardson",2020,"Male","ATY",3.6,NA,NA
562,"1238-04759","ME","Richardson",2020,"Male","ATY",3.2,NA,NA
545,"0689-09484","ME","Richardson",2020,"Male","ATY",2.9,NA,NA
563,"1238-04762","ME","Parmachenee",2020,"Male","ATY",2.8,NA,NA
561,"1238-04703","ME","Aziscohos",2020,"Male","ATY",2.5,NA,NA
538,"1118-16300","ME","Somes Pond",2020,"Male","ATY",2.5,NA,NA
505,"0689-09473","MA","Quabbin",2020,"Male","ATY",2.2,NA,NA
540,"1238-04761","ME","Aziscohos",2020,"Male","ATY",2.2,NA,NA
544,"1238-04763","ME","Sandy River",2020,"Male","ATY",1.9,NA,NA
507,"0938-03451","MA","Wachusett Reservoir",2020,"Male","ATY",1.9,NA,NA
541,"1238-04704","ME","Little Sebago",2020,"Male","ATY",1.3,NA,NA
619,"0938-78814","NY","Lake Rondaxe",2020,"Male","ATY",NA,NA,NA
499,"1238-04747","NH","Ossipee",2020,"Male","ATY",NA,NA,NA
494,"1238-04788","NH","Paugus Bay",2020,"Male","ATY",NA,NA,NA
491,"1118-16121","NH","Akers Pond",2020,"Male","ATY",NA,NA,NA
487,"1238-04782","NH","Island Pond",2020,"Male","ATY",NA,NA,NA
510,"0689-09471","MA","Wachusett Reservoir",2020,"Hatch Year","HY",0.2,NA,NA
509,"0689-09462","MA","Wachusett Reservoir",2020,"Hatch Year","HY",0.2,NA,NA
618,"UNNY-20002","NY","Chaumont Pond",2020,"Hatch Year","HY",NA,NA,NA
614,"UNNY-20004","NY","Gray Lake",2020,"Hatch Year","HY",NA,NA,NA
554,"0689-09482","ME","Little Sebago",2020,"Female","ATY",1.1,NA,1
617,"0968-87761","NY","Hitchins Pond",2020,"Female","ATY",NA,NA,1
613,"0968-87780","NY","Francis Lake",2020,"Female","ATY",NA,NA,1
610,"0968-87776","NY","South Pond",2020,"Female","ATY",NA,NA,1
608,"1078-62771","NY","Big Moose Lake",2020,"Female","ATY",NA,NA,1
495,"1238-04738","NH","Paugus Bay",2020,"Female","ATY",NA,NA,1
493,"12383-04799","NH","Winnipesaukee",2020,"Female","ATY",NA,NA,1
484,"1238-04794","NH","Lake Francis",2020,"Female","ATY",NA,NA,1
504,"1118-15977","MA","Copicut Reservoir, MA",2020,"Male","ATY",5.4,NA,1
564,"0689-09418","ME","Aziscohos",2020,"Male","ATY",4.5,NA,1
547,"0689-09499","ME","Richardson",2020,"Male","ATY",1.6,NA,1
539,"0669-21938","ME","Raymond Pond",2020,"Male","ATY",1.4,NA,1
550,"0689-09481","ME","Aziscohos",2020,"Male","ATY",0.1,NA,1
642,"1238-04727","NH","Balch Pond",2020,"Male","ATY",NA,NA,1
639,"1238-04781","NH","Red Hill Pond",2020,"Male","ATY",NA,NA,1
609,"1118-16218","NY","South Pond",2020,"Male","ATY",NA,NA,1
497,"1118-15273","NH","Clark Pond",2020,"Male","ATY",NA,NA,1
492,"1238-04780","NH","Pontook Reservoir",2020,"Male","ATY",NA,NA,1
490,"1238-04787","NH","CT Lake",2020,"Male","ATY",NA,NA,1
488,"1238-04791","NH","Silver Lake",2020,"Male","ATY",NA,NA,1
485,"1238-04793","NH","Highland Lake",2020,"Male","ATY",NA,NA,1
482,"1118-16195","NH","Big Pea Porridge Pond",2020,"Male","ATY",NA,NA,1
616,"0968-87775","NY","Newton Falls Reservoir",2020,"Hatch Year","HY",NA,NA,1
615,"UNNY-20003","NY","Chaumont Pond",2020,"Hatch Year","HY",NA,NA,1
611,"UNNY-20001","NY","Dart Lake",2020,"Hatch Year","HY",NA,NA,1
486,"1118-16149","NH","Highland Lake",2020,"Female","ATY",NA,1,0
557,"0689-09446","ME","Aziscohos",2020,"Male","ATY",2.5,1,0
612,"0938-15379","NY","Gray Lake",2020,"Male","ATY",NA,1,0
496,"1238-04792","NH","Mascoma",2020,"Male","ATY",NA,1,0
480,"1238-04733","NH","Winnepocket Lake",2020,"Male","ATY",NA,1,0
546,"0689-09487","ME","Richardson",2020,"Male","ATY",3.4,1,1
483,"0938-78741","NH","CT Lake",2020,"Male","ATY",NA,1,1
