"T #","Band #","State","Lake","Year Collected","Sex","Age","Blood Hg ppm","PLAS","LEUC","LEUC Count","Year of Death","APIC","...14"
124,"0938-26110","NY","North Lake",2011,"M","ATY","7.3","Y","Y",NA,NA,NA,NA
118,"0559-61794","ME","Kezar Lake",2011,"M","ATY","4.0","Y","N",NA,NA,NA,NA
102,"0559-61796","ME","Middle Pond Kezar",2011,"M","ATY","3.7","Y","Y",NA,NA,"Y",NA
88,"0938-44808","ME","Long Pond",2011,"M","ATY","3.7","N","Y",NA,NA,"Y",NA
122,"0938-78820","NY","South Lake",2011,"M","ATY","3.3","N","Y",NA,NA,NA,NA
127,"0938-78810","NY","Big Moose Lake",2011,"M","ATY","3.1","N","Y",NA,NA,NA,NA
96,"0938-06415","ME","Long Pond",2011,"F","ATY","2.7","N","Y",NA,NA,"Y",NA
74,"1118-15911","MA","Quabbin",2011,"F","ATY","2.5","N","N",NA,NA,NA,NA
121,"0938-03456","NY","Lower Saranac Lake",2011,"M","ATY","2.3","Y","Y",NA,NA,NA,NA
128,"0938-78825","NY","Round Lake",2011,"M","ATY","2.2","N","Y",NA,NA,NA,NA
110,"0938-15114","ME","Trout Pond",2011,"M","ATY","2.2","N","N",NA,NA,NA,NA
97,"0898-09120","ME","Wyman Lake",2011,"F","ATY","2.1","Y","Y",NA,NA,"N",NA
126,"0938-78809","NY","Big Moose Lake",2011,"F","ATY","2.1","N","Y",NA,NA,NA,NA
73,"0938-15266","MA","Quabbin",2011,"M","ATY","2.0","Y","N",NA,2012,NA,NA
114,"0938-44874","ME","Kezar Lake",2011,"F","ATY","1.8","N","N",NA,NA,NA,NA
123,"0938-61797","NY","Taylor Pond",2011,"U","ATY","1.7","N","Y",NA,NA,NA,NA
95,"0669-21968","ME","Little Sebago",2011,"M","ATY","1.7","Y","Y",NA,NA,"Y",NA
106,"0898-09146","ME","Trout Pond",2011,"F","ATY","1.6","N","N",NA,NA,"N",NA
103,"0669-20589","ME","Arnold Pond",2011,"M","ATY","1.4","Y","Y",NA,NA,"Y",NA
84,"0669-21953","ME","Eagle Lake",2011,"F","ATY","1.3","N","Y",NA,NA,"Y",NA
105,"0938-44746","ME","Pleasant Lake",2011,"M","ATY","1.0","N","Y",NA,NA,"Y",NA
83,"0938-44494","ME","Thompson Lake",2011,"F","ATY","0.9","N","N",NA,NA,"N",NA
120,"0898-09133","NY","Little Moose Lake",2011,"F","ATY","0.8","N","Y",NA,NA,NA,NA
125,"0938-78816","NY","South Lake",2011,"F","ATY","0.3","N","Y",NA,NA,NA,NA
119,"0938-78814","NY","Rondayelk Lake",2011,"M","ATY","0.3","N","Y",NA,NA,NA,NA
104,"0938-44751","ME","Tea Pond",2011,"M","ATY","0.3","N","Y",NA,NA,"Y",NA
111,"0669-20575","ME","Kezar Lake",2011,"U","HY","0.2","N","N",NA,NA,NA,NA
107,"0938-44702","ME","Kezar Lake",2011,"U","HY","0.2","N","N",NA,NA,NA,NA
