T #,Band #,State,Lake  ,Year Collected,Sex,Age,Blood Hg ppm,PLAS,LEUC,LEUC Count,Year of Death,APIC,
695,1238-04721,ME,Portage Lake,2021,M,ATY, ,N,Y,,,,
692,1238-24404,ME,Parker Pond,2021,U,HY, ,N,N,,,,
690,1238-04723,ME,Portage Lake,2021,M,ATY, ,N,N,,,,
689,1238-08853,ME,Crystal Lake,2021,U,HY, ,N,N,,,,
684,1238-08897,ME,Crystal Lake,2021,U,HY, ,N,N,,,,
676,1238-04715,ME,Flagstaff,2021,F,ATY, ,N,Y,,,,
672,1238-04717,ME,Aziscohos,2021,F,ATY, ,N,Y,,,,
668,1238-04725,ME,Portage Lake,2021,F,ATY, ,Y,Y,,,,
655,0689-09412,ME,Mooselookmeguntic,2021,F,ATY, ,N,N,,,,
649,0649-08894,ME,Thompson Lake,2021,U,HY, ,N,N,,,,
124,0938-26110,NY,North Lake,2011,M,ATY,7.3,Y,Y,,,,
536,0689-09451,ME,Sturtevant Pond,2019,M,ATY,6.5,N,N,,,,
149,0938-44812,MA,Hycrest Reservoir,2014,F,ATY,6.4,N,N,,,,
1000,0669-55037,ME,Flagstaff,2012,M,ATY,5.7,N,N,,,,
503,0689-09477,MA,"Copicut Reservoir, MA",2020,F,ATY,5.4,N,N,,,,
504,1118-15977,MA,"Copicut Reservoir, MA",2020,M,ATY,5.4,N,Y,,,,
153,0938-66647,MA,Hycrest Reservoir,2014,M,ATY,5.4,N,N,,,,
824,0938-53098,ME,Flagstaff,2016,M,ATY,5.0,N,N,,,,
48,0559-61794,ME,Aziscohos,2010,M,ATY,5.0,N,N,,,,
247,0938-61770,NY,Cranberry Lake,2014,M,ATY,4.7,N,Y,,,,
882,0689-15907,NH,Massabesic Lake,2022,F,ATY,4.6,Y,Y,,,,
564,0689-09418,ME,Aziscohos,2020,M,ATY,4.5,N,Y,,,,
182,1118-15988,ME,Kezar Lake ,2014,M,ATY,4.1,N,N,,,,
118,0559-61794,ME,Kezar Lake ,2011,M,ATY,4.0,Y,N,,,,
174,0938-66659,ME,Sebago Lake,2014,F,ATY,3.9,N,Y,,,,
277,0669-21915,MA,Notown Lake,2015,F,ATY,3.8,N,N,,,,
1017,1118-15920,ME,Somes Pond,2012,M,ATY,3.8,Y,N,,2012,,
38,0938-44702,ME,Flagstaff,2010,M,ATY,3.8,N,N,,,,
700,0689-09450,ME,Thompson Lake,2021,M,ATY,3.8,N,Y,,,,
102,0559-61796,ME,Middle Pond Kezar ,2011,M,ATY,3.7,Y,Y,,,Y,
88,0938-44808,ME,Long Pond ,2011,M,ATY,3.7,N,Y,,,Y,
47,0938-44727,ME,Watchic Lake,2010,M,ATY,3.7,N,N,,,,
549,0689-09454,ME,Richardson,2020,M,ATY,3.6,N,N,,,,
1060,0649-08895,NY,Dry Channel Pond,2016,M,ATY,3.48,N,N,,,,
846,1118-15295,NH,Sunapee Lake,2016,M,ATY,3.5,N,Y,,,,
250,0938-61785,NY,Hitchins Pond,2014,M,ATY,3.4,N,Y,,,,
546,0689-09487,ME,Richardson,2020,M,ATY,3.4,Y,Y,,,,
543,0968-87783,ME,Beaver Pond,2020,F,ATY,3.4,N,N,,2012,,
526,1118-16294,ME,Flagstaff,2019,F,ATY,3.3,N,N,,,,
35,0938-06399,ME,Chain of Ponds,2010,M,ATY,3.3,N,N,,2020,,
828,0938-53079,ME,Long Pond,2016,M,ATY,3.3,N,Y,,2015,,
122,0938-78820,NY,South Lake,2011,M,ATY,3.3,N,Y,,,,
556,0689-09479,ME,Flagstaff,2020,F,ATY,3.3,N,N,,,,
36,0938-03407,ME,Mooselookmeguntic,2010,M,ATY,3.3,N,Y,,,,
1005,1058-00605,ME,Mooselookmeguntic,2012,F,ATY,3.3,N,N,,,,
829,0938-53087,ME,Long Pond,2016,M,ATY,3.3,N,Y,,,,
1034,1118-16192,NH,Pleasant Lake,2014,M,ATY,3.2,N,Y,,,,
817,0938-15105,ME,East Pond,2016,M,ATY,3.2,N,N,,,,
52,0938-44808,ME,Watchic Lake,2010,M,ATY,3.2,N,N,,,,
678,1118-15974,ME,Rangeley,2021,M,ATY,3.2,N,N,,,,
800,0649-08897,ME,Aziscohos,2013,M,ATY,3.2,N,N,,,,
562,1238-04759,ME,Richardson,2020,M,ATY,3.2,N,N,,2016,,
8,0938-15333,NH,Northwood Lake,2010,M,ATY,3.2,N,Y,,2014,N,
847,1118-15292,NH,Star Lake,2016,M,ATY,3.2,N,N,,,,
127,0938-78810,NY,Big Moose Lake,2011,M,ATY,3.1,N,Y,,,,
251,0938-61788,NY,Chaumont Pond,2014,M,ATY,3.1,N,Y,,,,
635,1238-04783,NH,Crystal Lake,2021,M,ATY,3.1,Y,Y,,,,
1064,0649-08808,NY,Lower Saranac Lake,2016,M,ATY,3.05,N,Y,,,,
1013,0938-66614,ME,Indian Pond,2012,M,ATY,3.1,N,N,,,,
1007,1118-15934,ME,Little Sebago ,2012,M,ATY,3.0,N,N,,,,
687,0689-15625,ME,Kezar Lake,2021,F,ATY,3.0,N,N,,,,
832,1118-15278,NH,Swains Lake,2016,M,ATY,3.0,Y,Y,2,,,
3,0898-09819,NH,Swains Lake,2010,M,ATY,3.0,N,N,,,N,
183,1118-15996,ME,Kezar Lake,2014,M,ATY,3.0,N,N,,,,
821,0649-08833,ME,Flagstaff,2016,M,ATY,2.9,N,Y,,,,
1035,1118-16193,NH,Massabesic Lake,2014,F,ATY,2.9,N,N,,,,
31,0938-26131,ME,Rangeley,2010,M,ATY,2.9,N,Y,,,N,
545,0689-09484,ME,Richardson,2020,M,ATY,2.9,N,N,,,,
50,0938-15317,ME,Watchic Lake,2010,F,ATY,2.9,N,N,,,,
555,1238-04764,ME,Parmachenee,2020,F,ATY,2.9,N,N,,,,
181,1118-15976,ME,Aziscohos,2014,F,ATY,2.9,N,N,,,,
563,1238-04762,ME,Parmachenee,2020,M,ATY,2.8,N,N,,,,
530,0689-09413,ME,Flagstaff,2019,F,ATY,2.8,N,Y,,,,
518,1118-16246,ME,Richardson,2019,F,ATY,2.8,N,N,,,,
511,0689-09475,MA,Wachusett Reservoir,2020,F,ATY,2.7,N,N,,,,
1063,0649-08826,NY,Garnet Lake,2016,M,ATY,2.7,N,N,,,,
831,1118-15987,ME,Crescent Lake,2016,M,ATY,2.7,N,Y,,,,
96,0938-06415,ME,Long Pond ,2011,F,ATY,2.7,N,Y,,,Y,
49,0898-09143,ME,Aziscohos,2010,M,ATY,2.6,N,N,,,,
868,1118-15294,NH,Northwood Lake,2016,M,ATY,2.6,N,Y,,,,
172,0938-66624,ME,Mooselookmeguntic,2014,M,ATY,2.6,N,Y,,,,
175,0938-78855,ME,Chain of Ponds,2014,F,ATY,2.6,N,Y,,,,
535,0689-09434,ME,Flagstaff,2019,F,ATY,2.6,N,N,,,,
899,0938-53089,ME,Flagstaff ,2022,F,ATY,2.6,N,N,,,,
1061,0968-87770,NY,Limekiln Lake,2016,F,ATY,2.53,N,Y,,,,
1006,1118-15915,ME,Pattee Pond,2012,M,ATY,2.5,N,N,,,,
1058,0649-08825,NY,Limekiln Lake,2016,M,ATY,2.51,N,Y,,,,
686,1038-60124,MA,Bickford Reservoir,2021,F,ATY,2.5,N,Y,,,,
561,1238-04703,ME,Aziscohos,2020,M,ATY,2.5,N,N,,,,
557,0689-09446,ME,Aziscohos,2020,M,ATY,2.5,Y,N,,,,
506,0689-09459,MA,Wachusett Reservoir,2020,F,ATY,2.5,N,N,,,,
241,0649-08872,NY,Mason Lake,2014,M,ATY,2.5,N,N,,,,
1012,1118-15952,ME,Mooselookmeguntic,2012,M,ATY,2.5,N,Y,,,,
815,0938-53095,ME,Aziscohos,2016,F,ATY,2.5,N,Y,,,,
538,1118-16300,ME,Somes Pond,2020,M,ATY,2.5,N,N,,,,
74,1118-15911,MA,Quabbin,2011,F,ATY,2.5,N,N,,,,
912,0938-03351,ME,Indian Pond,2022,F,ATY,2.5,N,N,,,,
529,1118-16242,ME,Beaver Mountain,2019,F,ATY,2.5,N,N,,,,
1015,0669-55024,ME,Mooselookmeguntic,2012,M,ATY,2.4,N,N,,,,
807,1118-15993,ME,Aziscohos,2013,M,ATY,2.4,N,N,,,,
179,1118-15963,ME,Beaver Mountain,2014,M,ATY,2.4,N,N,,,,
512,0689-09421,ME,Little Sebago,2019,M,ATY,2.4,N,N,,,,
6,0898-09880,NH,Pleasant Lake,2010,F,ATY,2.4,N,N,,,N,
1037,1118-16195,NH,"Pea Porridge, Middle",2014,M,ATY,2.4,N,Y,,,,
1029,1118-16173,NH,Goose Pond,2014,M,ATY,2.3,N,N,,,,
827,1118-15970,ME,Long Pond,2016,F,ATY,2.3,Y,Y,,,,
121,0938-03456,NY,Lower Saranac Lake,2011,M,ATY,2.3,Y,Y,,,,
632,0689-15617,NH,CT Lake,2021,M,ATY,2.3,N,Y,,,,
355,1118-15997,ME,Flagstaff,2015,F,ATY,2.3,Y,Y,16,,Y,
217,0898-09819,NH,Swains Lake,2015,M,ATY,2.3,N,N,,,,
1021,0649-08834,NH,Bear Brook Pond,2014,F,ATY,2.3,N,Y,,,,
346,0938-15288,NH,Winnipesaukee,2014,M,ATY,2.3,N,Y,,,Y,
322,1118-15252,NH,Grafton Pond,2015,F,ATY,2.3,N,Y,19,,N,
169,0938-26124,ME,Highland Lake,2014,M,ATY,2.3,N,N,,,,
33,0938-06392,ME,Highland Lake,2010,F,ATY,2.3,N,Y,,,N,
1023,0898-10001,NH,Bear Brook Pond,2014,M,ATY,2.2,N,Y,,,,
128,0938-78825,NY,Round Lake,2011,M,ATY,2.2,N,Y,,,,
37,0898-09977,ME,Gull Pond,2010,M,ATY,2.2,N,N,,,,
40,0669-21954,ME,Coffee Pond ,2010,M,ATY,2.2,N,N,,,,
44,0898-09146,ME,Mooselookmeguntic,2010,F,ATY,2.2,N,N,,,,
39,0938-15197,ME,Coffee Pond,2010,M,ATY,2.2,N,N,,2021,,
859,1118-16158,NH,Iona Lake,2016,F,ATY,2.2,N,N,,,,
532,0689-09419,ME,Aziscohos,2019,F,ATY,2.2,N,N,,2014,,
248,0938-61776,NY,Putnam Pond,2014,M,ATY,2.2,N,Y,,,,
884,1238-25627,NH,Little Island Pond,2022,M,ATY,2.2,N,Y,,,,
839,1118-15221,NH,Ossipee ,2016,F,ATY,2.2,Y,Y,39,,,
897,1238-24415,ME,Aziscohos,2022,F,ATY,2.2,N,Y,,,,
110,0938-15114,ME,Trout Pond ,2011,M,ATY,2.2,N,N,,,,
22,0559-61876,NH,Winnipesaukee,2010,M,ATY,2.2,N,Y,1,,N,
505,0689-09473,MA,Quabbin,2020,M,ATY,2.2,N,N,,,,
540,1238-04761,ME,Aziscohos,2020,M,ATY,2.2,N,N,,,,
858,1118-15217,NH,Iona Lake,2016,M,ATY,2.2,N,N,,,,
244,0898-09854,NY,Chaumont Pond,2014,F,ATY,2.2,N,N,,,,
528,0689-09414,ME,Raymond Pond,2019,M,ATY,2.2,N,N,,,,
1009,1058-00603,ME,Aziscohos,2012,F,ATY,2.1,N,Y,,,,
1011,0938-78801,ME,Rangeley Lake,2012,M,ATY,2.1,N,Y,,,,
719,0669-21767,NY,Lake Colby,2021,M,ATY,2.1,Y,N,,,,
245,0898-09864,NY,Upper St. Regis,2014,M,ATY,2.1,N,N,,,,
180,1118-15967,ME,Beaver Mountain,2014,M,ATY,2.1,N,N,,,,
97,0898-09120,ME,Wyman Lake ,2011,F,ATY,2.1,Y,Y,,,N,
11,0898-09818,NH,Squam Lake,2010,M,ATY,2.1,N,N,,,N,
886,0689-15906,NH,Highland Lake,2022,U,HY,2.1,N,N,,,,
813,0938-15335,ME,Little Sebago,2016,M,ATY,2.1,N,N,,,,
804,0938-15202,ME,Aziscohos,2013,F,ATY,2.1,N,N,,,,
1066,0938-44725,NY,Garnet Lake,2016,F,ATY,2.05,Y,Y,,,,
1003,0938-66609,ME,Flagstaff,2012,F,ATY,2.1,N,Y,,,,
531,0689-09416,ME,Mooselookmeguntic,2019,M,ATY,2.1,N,N,,,,
126,0938-78809,NY,Big Moose Lake,2011,F,ATY,2.1,N,Y,,,,
53,0938-44896,ME,Notched Pond,2010,M,ATY,2.1,N,Y,,,,
73,0938-15266,MA,Quabbin,2011,M,ATY,2.0,Y,N,,2012,,
803,0938-15145,ME,Aziscohos,2013,F,ATY,2.0,N,N,,,,
537,0689-09453,ME,Forest Lake,2019,F,ATY,2.0,N,N,,,,
883,0689-15908,NH,Massabesic Lake,2022,M,ATY,2.0,N,Y,,,,
32,0669-20564,ME,Little Sebago ,2010,F,ATY,2.0,N,N,,,,
907,1238-24450,ME,Sebago Lake ,2022,M,ATY,2.0,N,Y,,,,
316,0938-44710,NH,Squam Lake,2015,M,ATY,2.0,N,Y,,,Y,
320,1118-16184,NH,Winnipesaukee,2015,F,ATY,2.0,N,Y,4,,N,
1028,1118-16172,NH,Massabesic Lake,2014,M,ATY,2.0,N,N,,,,
150,0938-61737,MA,Quabbin,2014,M,ATY,2.0,N,N,,,,
842,0898-09848,NH,Broad Bay,2016,F,ATY,2.0,Y,Y,25,,,
812,1118-15992,ME,Somes Pond,2013,F,ATY,2.0,N,N,,,,
850,1118-15274,NH,Winnipesaukee,2016,M,ATY,2.0,N,N,,,,
4,0669-21969,NH,Squam Lake,2010,M,ATY,2.0,N,N,,2010,Y,
1025,0938-44733,NH,Greenough Pond,2014,M,ATY,1.9,Y,N,,,,
551,0689-09480,ME,Beaver Mountain,2020,F,ATY,1.9,N,N,,,,
146,0938-44355,MA,Quabbin,2014,M,ATY,1.9,N,N,,,,
837,1118-15272,NH,Swains Lake,2016,F,ATY,1.9,N,N,,,,
145,0669-55046,MA,Crystal,2014,M,ATY,1.9,N,N,,,,
1026,1118-16159,NH,Winnipesaukee,2014,M,ATY,1.9,N,Y,,,,
1002,0938-78861,ME,Aziscohos,2012,M,ATY,1.9,N,Y,,,,
278,1118-15962,MA,Fitchburg Reservoir,2015,M,ATY,1.9,Y,Y,,,,
641,1118-16102,NH,Lake Francis ,2021,F,ATY,1.9,Y,Y,,,,
544,1238-04763,ME,Sandy River,2020,M,ATY,1.9,N,N,,,,
1,0669-21989,NH,Swains Lake,2010,F,ATY,1.9,N,Y,,,N,
914,1238-08893,ME,Mooselookmeguntic,2022,F,ATY,1.9,N,N,,,,
521,0689-09401,ME,Notched Pond,2019,F,ATY,1.9,N,N,,,,
522,0689-09455,ME,Richardson,2019,F,ATY,1.9,N,N,,,,
166,0938-15345,ME,Kezar Lake,2014,F,ATY,1.9,Y,Y,1,,,
629,1118-15223,NH,Sunapee Lake,2021,M,ATY,1.9,N,N,,,,
507,0938-03451,MA,Wachusett Reservoir,2020,M,ATY,1.9,N,N,,,,
548,0938-03351,ME,Flagstaff,2020,F,ATY,1.8,N,N,,,,
51,0938-15277,ME,Little Sebago,2010,M,ATY,1.8,N,Y,,,,
527,1118-16249,ME,Little Sebago ,2019,F,ATY,1.8,Y,Y,,,,
147,0938-44359,MA,Quabbin,2014,M,ATY,1.8,N,N,,,,
42,0938-26128,ME,Aziscohos,2010,F,ATY,1.8,N,N,,,,
1068,0968-87753,NY,Twitchell Lake,2016,F,ATY,1.8,N,N,,2017,,
688,0689-15629,ME,Jimmie Pond,2021,F,ATY,1.8,Y,Y,,,,
114,0938-44874,ME,Kezar Lake ,2011,F,ATY,1.8,N,N,,,,
13,0669-21976,NH,Squam Lake,2010,M,ATY,1.8,N,N,,,N,
1057,0968-87773,NY,Twitchell Lake,2016,F,ATY,1.77,N,N,,,,
1033,1118-16186,NH,Pleasant Lake,2014,F,ATY,1.8,N,N,,,,
177,0938-78865,ME,Little Sebago ,2014,M,ATY,1.8,N,N,,,,
228,1118-16180,NH,Wikwas,2014,F,ATY,1.8,N,N,,,,
30,0938-03410,ME,Loon Lake,2010,M,ATY,1.8,N,N,,,N,
820,1118-15971,ME,Mooselookmeguntic,2016,M,ATY,1.7,N,Y,,,,
634,1238-04776,NH,Mascoma Lake,2021,F,ATY,1.7,N,Y,,,,
552,0689-09483,ME,Beaver Mountain,2020,F,ATY,1.7,N,N,,,,
891,1238-25630,ME,Little Sebago ,2022,F,ATY,1.7,N,Y,,,,
1032,1118-16185,NH,Greenough Pond,2014,F,ATY,1.7,Y,N,,,,
628,0689-15608,NH,Winnipesaukee,2021,F,ATY,1.7,Y,Y,,,,
501,0649-08884,MA,Quabbin,2019,F,ATY,1.7,N,N,,,,
822,0649-08897,ME,Flagstaff ,2016,M,ATY,1.7,N,Y,,,,
862,1118-15222,NH,Pontook Reservoir,2016,M,ATY,1.7,N,N,,,,
123,0938-61797,NY,Taylor Pond,2011,U,ATY,1.7,N,Y,,,,
279,1118-15964,MA,Wachusett Lake,2015,F,ATY,1.7,N,N,,,,
227,1118-16177,NH,Ossipee,2014,M,ATY,1.7,N,N,,,,
224,1118-16170,NH,Goose Pond,2014,F,ATY,1.7,N,N,,,,
2,0938-61755,NH,Northwood Lake,2010,F,ATY,1.7,N,N,1,,N,
904,0689-15903,ME,Eagle Lake,2022,M,ATY,1.7,N,Y,,,,
508,0559-61760,MA,Wachusett Reservoir,2020,F,ATY,1.7,N,N,,,,
