T #,Band #,State,Lake  ,Year Collected,Sex,Age,Hg ,PLAS,LEUC
655,0689-09412,ME,Mooselookmeguntic,2021,Female,ATY,,,
149,0938-44812,MA,Hycrest Reservoir,2014,Female,ATY,6.4,,
503,0689-09477,MA,"Copicut Reservoir, MA",2020,Female,ATY,5.4,,
277,0669-21915,MA,Notown Lake,2015,Female,ATY,3.8,,
543,0968-87783,ME,Beaver Pond,2020,Female,ATY,3.4,,
526,1118-16294,ME,Flagstaff,2019,Female,ATY,3.3,,
556,0689-09479,ME,Flagstaff,2020,Female,ATY,3.3,,
1005,1058-00605,ME,Mooselookmeguntic,2012,Female,ATY,3.3,,
687,0689-15625,ME,Kezar Lake,2021,Female,ATY,3,,
1035,1118-16193,NH,Massabesic Lake,2014,Female,ATY,2.9,,
50,0938-15317,ME,Watchic Lake,2010,Female,ATY,2.9,,
555,1238-04764,ME,Parmachenee,2020,Female,ATY,2.9,,
181,1118-15976,ME,Aziscohos,2014,Female,ATY,2.9,,
518,1118-16246,ME,Richardson,2019,Female,ATY,2.8,,
511,0689-09475,MA,Wachusett Reservoir,2020,Female,ATY,2.7,,
535,0689-09434,ME,Flagstaff,2019,Female,ATY,2.6,,
899,0938-53089,ME,Flagstaff ,2022,Female,ATY,2.6,,
506,0689-09459,MA,Wachusett Reservoir,2020,Female,ATY,2.5,,
74,1118-15911,MA,Quabbin,2011,Female,ATY,2.5,,
912,0938-03351,ME,Indian Pond,2022,Female,ATY,2.5,,
529,1118-16242,ME,Beaver Mountain,2019,Female,ATY,2.5,,
6,0898-09880,NH,Pleasant Lake,2010,Female,ATY,2.4,,
44,0898-09146,ME,Mooselookmeguntic,2010,Female,ATY,2.2,,
859,1118-16158,NH,Iona Lake,2016,Female,ATY,2.2,,
532,0689-09419,ME,Aziscohos,2019,Female,ATY,2.2,,
244,0898-09854,NY,Chaumont Pond,2014,Female,ATY,2.2,,
804,0938-15202,ME,Aziscohos,2013,Female,ATY,2.1,,
803,0938-15145,ME,Aziscohos,2013,Female,ATY,2,,
537,0689-09453,ME,Forest Lake,2019,Female,ATY,2,,
32,0669-20564,ME,Little Sebago ,2010,Female,ATY,2,,
812,1118-15992,ME,Somes Pond,2013,Female,ATY,2,,
551,0689-09480,ME,Beaver Mountain,2020,Female,ATY,1.9,,
837,1118-15272,NH,Swains Lake,2016,Female,ATY,1.9,,
914,1238-08893,ME,Mooselookmeguntic,2022,Female,ATY,1.9,,
521,0689-09401,ME,Notched Pond,2019,Female,ATY,1.9,,
522,0689-09455,ME,Richardson,2019,Female,ATY,1.9,,
548,0938-03351,ME,Flagstaff,2020,Female,ATY,1.8,,
42,0938-26128,ME,Aziscohos,2010,Female,ATY,1.8,,
1068,0968-87753,NY,Twitchell Lake,2016,Female,ATY,1.8,,
114,0938-44874,ME,Kezar Lake ,2011,Female,ATY,1.8,,
1057,0968-87773,NY,Twitchell Lake,2016,Female,ATY,1.77,,
1033,1118-16186,NH,Pleasant Lake,2014,Female,ATY,1.8,,
228,1118-16180,NH,Wikwas,2014,Female,ATY,1.8,,
552,0689-09483,ME,Beaver Mountain,2020,Female,ATY,1.7,,
501,0649-08884,MA,Quabbin,2019,Female,ATY,1.7,,
279,1118-15964,MA,Wachusett Lake,2015,Female,ATY,1.7,,
224,1118-16170,NH,Goose Pond,2014,Female,ATY,1.7,,
2,0938-61755,NH,Northwood Lake,2010,Female,ATY,1.7,,
508,0559-61760,MA,Wachusett Reservoir,2020,Female,ATY,1.7,,
106,0898-09146,ME,Trout Pond ,2011,Female,ATY,1.6,,
647,0938-44426,ME,Aziscohos,2021,Female,ATY,1.6,,
525,0689-09452,ME,Rangeley Lake,2019,Female,ATY,1.6,,
148,0938-44361,MA,Quabbin,2014,Female,ATY,1.6,,
524,1118-16202,ME,Richardson,2019,Female,ATY,1.5,,
523,0689-09463,ME,Richardson,2019,Female,ATY,1.5,,
516,1118-16243,ME,Kennebago,2019,Female,ATY,1.5,,
159,0669-55030,ME,Little Sebago ,2014,Female,ATY,1.5,,
834,1118-15290,NH,Clark Pond,2016,Female,ATY,1.5,,
898,1238-25626,ME,Richardson,2022,Female,ATY,1.4,,
1062,0968-87759,NY,Little Green Pond,2016,Female,ATY,1.4,,
502,0649-08891,MA,Quabbin,2019,Female,ATY,1.3,,
161,0669-55045,ME,Little Sebago ,2014,Female,ATY,1.3,,
697,0689-15638,ME,Long Pond,2021,Female,ATY,1.2,,
663,1238-08870,MA,Quabbin,2021,Female,ATY,1.2,,
841,1118-15275,NH,Winnipesaukee,2016,Female,ATY,1.2,,
1016,1118-15935,ME,Little Sebago ,2012,Female,ATY,1.1,,
848,1118-15297,NH,Squam Lake,2016,Female,ATY,1.1,,
20,0669-21971,NH,Squam Lake,2010,Female,ATY,1.1,,
665,0689-15630,ME,Long Pond,2021,Female,ATY,1.1,,
311,1118-16190,NH,Purity Lake,2015,Female,ATY,1.1,,
845,1118-15293,NH,Squam Lake,2016,Female,ATY,1,,
814,0938-53083,ME,Arnold Pond,2016,Female,ATY,1,,
157,0669-55025,ME,Middle Pond Kezar ,2014,Female,ATY,1,,
660,1118-16231,ME,Indian Pond,2021,Female,ATY,1,,
893,0689-15940,ME,Echo Lake ,2022,Female,ATY,1,,
519,1118-15987,ME,Loon Lake,2019,Female,ATY,0.9,,
901,1238-25628,ME,Long Lake,2022,Female,ATY,0.9,,
553,0689-09476,ME,Little Sebago ,2020,Female,ATY,0.9,,
160,0669-55040,ME,Long Pond ,2014,Female,ATY,0.9,,
143,0669-21928,MA,Quabbin,2014,Female,ATY,0.9,,
18,0898-09839,NH,Squam Lake,2010,Female,ATY,0.9,,
674,0689-09408,ME,Messalonskee,2021,Female,ATY,0.9,,
7,0669-21970,NH,Winnipesaukee,2010,Female,ATY,0.9,,
83,0938-44494,ME,Thompson Lake,2011,Female,ATY,0.9,,
857,1118-15242,NH,Kanasatka Lake,2016,Female,ATY,0.9,,
863,1118-15219,NH,Nay Pond,2016,Female,ATY,0.8,,
806,0898-05388,ME,Swan Lake,2013,Female,ATY,0.8,,
699,0689-09428,ME,Great Pond,2021,Female,ATY,0.8,,
920,0689-15933,ME,Great Pond,2022,Female,ATY,0.7,,
895,0938-44496,ME,Little Sebago ,2022,Female,ATY,0.7,,
855,0669-21988,NH,Little Squam Lake,2016,Female,ATY,0.6,,
21,0669-21988,NH,Little Squam Lake,2010,Female,ATY,0.6,,
646,1238-04716,ME,Aziscohos,2021,Female,ATY,0.6,,
861,1118-15225,NH,Pontook Reservoir,2016,Female,ATY,0.6,,
918,0938-15147,ME,Flagstaff,2022,Female,ATY,0.5,,
810,0938-78858,ME,L.L. Bean Pond,2013,Female,ATY,0.3,,
627,0689-15609,NH,Streeter Pond,2021,Female,ATY,0.3,,
1055,1118-15227,NH,Providence Lake,2017,Female,ATY,,,
1054,1118-15245,NH,,2017,Female,ATY,,,
708,1278-57401,MA,Wachusett Reservoir,2021,Female,ATY,,,
706,1238-08878,MA,Quabbin,2021,Female,ATY,,,
640,1238-04741,NH,Red Hill Pond ,2020,Female,ATY,,,
638,1238-04798,NH,Manning Lake,2020,Female,ATY,,,
606,1118-16226,NY,Oliver Pond,2019,Female,ATY,,,
602,0938-03416,NY,Lake Abanakee,2019,Female,ATY,,,
498,1238-04726,NH,Winnipesaukee,2020,Female,ATY,,,
489,1238-04774,NH,Conner Pond ,2020,Female,ATY,,,
479,1118-16140,NH,Winnepocket Lake ,2020,Female,ATY,,,
89,0938-06215,NH,Squam Lake,2011,Female,ATY,,,
61,1118-15945,NH,Bear Camp Pond,2011,Female,ATY,,,
690,1238-04723,ME,Portage Lake,2021,Male,ATY,,,
536,0689-09451,ME,Sturtevant Pond,2019,Male,ATY,6.5,,
1000,0669-55037,ME,Flagstaff,2012,Male,ATY,5.7,,
153,0938-66647,MA,Hycrest Reservoir,2014,Male,ATY,5.4,,
824,0938-53098,ME,Flagstaff,2016,Male,ATY,5,,
48,0559-61794,ME,Aziscohos,2010,Male,ATY,5,,
182,1118-15988,ME,Kezar Lake ,2014,Male,ATY,4.1,,
38,0938-44702,ME,Flagstaff,2010,Male,ATY,3.8,,
47,0938-44727,ME,Watchic Lake,2010,Male,ATY,3.7,,
549,0689-09454,ME,Richardson,2020,Male,ATY,3.6,,
1060,0649-08895,NY,Dry Channel Pond,2016,Male,ATY,3.48,,
35,0938-06399,ME,Chain of Ponds,2010,Male,ATY,3.3,,
817,0938-15105,ME,East Pond,2016,Male,ATY,3.2,,
52,0938-44808,ME,Watchic Lake,2010,Male,ATY,3.2,,
678,1118-15974,ME,Rangeley,2021,Male,ATY,3.2,,
800,0649-08897,ME,Aziscohos,2013,Male,ATY,3.2,,
562,1238-04759,ME,Richardson,2020,Male,ATY,3.2,,
847,1118-15292,NH,Star Lake,2016,Male,ATY,3.2,,
1013,0938-66614,ME,Indian Pond,2012,Male,ATY,3.1,,
1007,1118-15934,ME,Little Sebago ,2012,Male,ATY,3,,
3,0898-09819,NH,Swains Lake,2010,Male,ATY,3,,
183,1118-15996,ME,Kezar Lake,2014,Male,ATY,3,,
545,0689-09484,ME,Richardson,2020,Male,ATY,2.9,,
563,1238-04762,ME,Parmachenee,2020,Male,ATY,2.8,,
1063,0649-08826,NY,Garnet Lake,2016,Male,ATY,2.7,,
49,0898-09143,ME,Aziscohos,2010,Male,ATY,2.6,,
1006,1118-15915,ME,Pattee Pond,2012,Male,ATY,2.5,,
561,1238-04703,ME,Aziscohos,2020,Male,ATY,2.5,,
241,0649-08872,NY,Mason Lake,2014,Male,ATY,2.5,,
538,1118-16300,ME,Somes Pond,2020,Male,ATY,2.5,,
1015,0669-55024,ME,Mooselookmeguntic,2012,Male,ATY,2.4,,
807,1118-15993,ME,Aziscohos,2013,Male,ATY,2.4,,
179,1118-15963,ME,Beaver Mountain,2014,Male,ATY,2.4,,
512,0689-09421,ME,Little Sebago,2019,Male,ATY,2.4,,
1029,1118-16173,NH,Goose Pond,2014,Male,ATY,2.3,,
217,0898-09819,NH,Swains Lake,2015,Male,ATY,2.3,,
